LocationID,COUNTY,ROUTE,LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020,AADT_2021,AADT_2022,AADT_2023
600001671,MECKLENBURG,I-485,BETWEEN I-77 SB AND I-485 INNER,8285.714285714286,8285.714285714286,8285.714285714286,8285.714285714286,8285.714285714286,8285.714285714286,8285.714285714286,7800.0,8300.0,8000.0,7400.0,8800.0,8900.0,8100.0,8500.0,8700.0,9000.0,8200.0,8285.714285714286,8100.0,8100.0,8100.0
600001672,MECKLENBURG,I-485,BETWEEN I-485 AND I-77,30730.76923076923,30730.76923076923,30730.76923076923,30730.76923076923,30730.76923076923,30730.76923076923,30730.76923076923,31000.0,29000.0,30000.0,28000.0,32000.0,31000.0,31000.0,33000.0,34000.0,30730.76923076923,32000.0,30730.76923076923,30000.0,28500.0,30000.0
600001795,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND I-85 SB,15038.461538461539,15038.461538461539,15038.461538461539,15038.461538461539,15038.461538461539,15038.461538461539,15038.461538461539,13000.0,14000.0,12000.0,13000.0,14000.0,13000.0,14000.0,17000.0,17000.0,15038.461538461539,17000.0,15038.461538461539,16500.0,17000.0,18000.0
600001796,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND I-85 NB,12285.714285714286,12285.714285714286,12285.714285714286,12285.714285714286,12285.714285714286,12285.714285714286,12285.714285714286,11000.0,12500.0,9600.0,9800.0,9800.0,9300.0,12000.0,14000.0,13000.0,13500.0,14000.0,12285.714285714286,14500.0,13000.0,16000.0
600001803,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND US 29,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,5500.0,6300.0,6700.0,7600.0,7700.0,6400.0,5100.0,5800.0,7400.0,6200.0,6200.0,6250.0,5600.0,5400.0,5600.0
600001804,MECKLENBURG,I-485,BETWEEN US 29 NB AND I-485 INNER,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,3000.0,3200.0,3400.0,3800.0,3500.0,3100.0,2500.0,2900.0,2800.0,2800.0,2300.0,2900.0,2100.0,2400.0,2800.0
600001805,MECKLENBURG,I-485,BETWEEN US 29 AND I-485 OUTER,8469.23076923077,8469.23076923077,8469.23076923077,8469.23076923077,8469.23076923077,8469.23076923077,8469.23076923077,3300.0,3600.0,3900.0,8469.23076923077,4500.0,5300.0,7700.0,9800.0,11000.0,11000.0,11000.0,8469.23076923077,13000.0,13000.0,13000.0
600001806,MECKLENBURG,I-485,BETWEEN I-485 INNER AND US 29,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,3400.0,4000.0,4200.0,7850.0,4600.0,4100.0,6800.0,9100.0,10000.0,7850.0,11500.0,7850.0,11000.0,12500.0,13000.0
600001807,MECKLENBURG,I-485,BETWEEN US 29 SB AND I-485 INNER,3078.5714285714284,3078.5714285714284,3078.5714285714284,3078.5714285714284,3078.5714285714284,3078.5714285714284,3078.5714285714284,2200.0,2400.0,3000.0,3700.0,3500.0,3900.0,2600.0,2900.0,3300.0,3100.0,2500.0,3078.5714285714284,3600.0,3200.0,3200.0
600001808,MECKLENBURG,I-485,BETWEEN NC 49 AND I-485 OUTER,11715.384615384615,11715.384615384615,11715.384615384615,11715.384615384615,11715.384615384615,11715.384615384615,11715.384615384615,6300.0,7300.0,6800.0,7100.0,5900.0,8400.0,12000.0,15000.0,17000.0,11715.384615384615,16500.0,11715.384615384615,17000.0,16500.0,16500.0
